id,epic,title,priority,sprint,acceptance_summary
S0-1,bootstrap,Create repo scaffold,P0,0,manta doctor works after editable install
S0-2,bootstrap,Add docs baseline,P0,0,PRD architecture routing context security docs exist
S0-3,bootstrap,Add CI baseline,P1,0,CI runs tests and ruff
S1-1,core-cli,Project initialization,P0,1,manta init creates .manta safely
S1-2,core-cli,Session logging,P0,1,session JSONL events written
S1-3,core-cli,Dry-run pipeline,P0,1,manta run --dry-run routes and logs
S2-1,routing,Route decision schema,P0,2,router returns strict schema
S2-2,budget,Budget ledger,P0,2,cost estimates and hard caps work
S2-3,routing,Opus escalation rules,P0,2,Opus not used unless route permits
S3-1,runtime,Runtime adapter,P0,3,Deep Agents behind AgentRuntime interface
S3-2,runtime,Builder role,P0,3,builder proposes patch with policy wrapper
S3-3,runtime,Reviewer role,P0,3,reviewer returns structured findings
S4-1,context,Repo map,P1,4,repo map excludes noise and dependency folders
S4-2,context,Context manifest,P0,4,every run writes context manifest
S4-3,context,Role context packs,P0,4,role-specific context generated
S5-1,review,Code review loop,P0,5,reviewer can block and builder can fix
S5-2,security,Security triggers,P0,5,risky diffs trigger security review
S5-3,policy,Policy engine,P0,5,shell path network git policies enforced
S6-1,evals,Eval harness,P1,6,10 tasks run with metrics
S6-2,evals,Cost report,P1,6,cost by route role model reported
S6-3,release,Alpha checklist,P0,6,install docs and limitations validated
